    YYYYMMDD      HHMMSS     JULIAN        YEAR      total_column   error       instrument
    19970718      155926    2450648     1997.544291   4.4824e+015   7.2969e+014      0
    19970719       81133    2450649     1997.546141   3.9968e+015   6.5063e+014      0
    19970719      101448    2450649     1997.546375   4.3831e+015   7.1352e+014      0
    19970720       95420    2450650     1997.549076   7.2933e+015   1.1873e+015      0
    19970721      115751    2450651     1997.552051   7.4161e+015   1.2073e+015      0
    19970725      134927    2450655     1997.563222   1.0153e+016   1.6529e+015      0
    19970731      120346    2450661     1997.579459   8.0675e+015   1.3133e+015      0
    19970801      133034    2450662     1997.582364   2.9151e+015   4.7454e+014      0
    19970806      103759    2450667     1997.595734   7.4996e+015   1.2208e+015      0
    19970806      124121    2450667     1997.595969   7.4453e+015   1.2120e+015      0
    19970813       72820    2450674     1997.614552   4.7270e+015   7.6950e+014      0
    19970814       92715    2450675     1997.617518   8.1939e+015   1.3339e+015      0
    19970814      113038    2450675     1997.617752   5.9741e+015   9.7251e+014      0
    19970814      154014    2450675     1997.618227   4.3115e+015   7.0187e+014      0
    19970817      112627    2450678     1997.625964   5.5122e+015   8.9732e+014      0
    19970822      112819    2450683     1997.639666   5.8618e+015   9.5423e+014      0
    19970823      101340    2450684     1997.642263   1.0304e+016   1.6774e+015      0
    19970825      111525    2450686     1997.647860   7.4951e+015   1.2201e+015      0
    19970827       92402    2450688     1997.653128   4.5994e+015   7.4874e+014      0
    19970828       81103    2450689     1997.655729   8.5949e+015   1.3991e+015      0
    19970828      101426    2450689     1997.655964   1.3901e+016   2.2629e+015      0
    19970828      142200    2450689     1997.656435   1.8321e+016   2.9825e+015      0
    19970830      112750    2450691     1997.661583   1.8384e+016   2.9928e+015      0
    19970908      123212    2450700     1997.686363   5.1061e+015   8.3121e+014      0
    19970915      131617    2450707     1997.705625   1.1173e+016   1.8188e+015      0
    19970916       84423    2450708     1997.707847   8.8440e+015   1.4397e+015      0
    19970926       91108    2450718     1997.735295   2.6360e+015   4.2910e+014      0
    19970929      160644    2450721     1997.744305   4.1319e+015   6.7263e+014      0
